9606.ENSP00000297988	O14520	AQP7
9606.ENSP00000219919	O43315	AQP9
9606.ENSP00000376855	Q8N608	DPP10
9606.ENSP00000339208	Q6V1X1	DPP8
9606.ENSP00000262960	Q86TI2	DPP9
9606.ENSP00000269571	P04626	ERBB2
9606.ENSP00000281708	Q969H0	FBXW7
9606.ENSP00000250448	P55317	FOXA1
9606.ENSP00000296839	Q9C009	FOXQ1
9606.ENSP00000309845	P01112	HRAS
9606.ENSP00000377218	P14316	IRF2
9606.ENSP00000355988	O14896	IRF6
9606.ENSP00000419000	Q13449	LSAMP
9606.ENSP00000350364	Q7Z3B1	NEGR1
9606.ENSP00000396722	Q9P121	NTM
9606.ENSP00000330862	Q14982	OPCML
9606.ENSP00000289269	Q9Y5H8	PCDHA3
9606.ENSP00000253807	Q9Y5H7	PCDHA5
9606.ENSP00000345491	Q9Y5F0	PCDHB13
9606.ENSP00000231173	Q9Y5E8	PCDHB15
9606.ENSP00000194155	Q9Y5E7	PCDHB2
9606.ENSP00000194152	Q9Y5E5	PCDHB4
9606.ENSP00000265970	O00443	PIK3C2A
9606.ENSP00000266497	O75747	PIK3C2G
9606.ENSP00000263967	P42336	PIK3CA
9606.ENSP00000245304	P10114	RAP2A
9606.ENSP00000321805	Q99578	RIT2
9606.ENSP00000419692	P19793	RXRA
9606.ENSP00000352900	P48443	RXRG
9606.ENSP00000381823	O95486	SEC24A
9606.ENSP00000265175	O95487	SEC24B
9606.ENSP00000321845	P53992	SEC24C
9606.ENSP00000269305	P04637	TP53
9606.ENSP00000264731	Q9H3D4	TP63
9606.ENSP00000221315	O94892	ZNF432
9606.ENSP00000346729	Q86UQ0	ZNF589
9606.ENSP00000270649	Q8N883	ZNF614
9606.ENSP00000471000	Q08AN1	ZNF616
9606.ENSP00000301096	P51522	ZNF83
9606.ENSP00000252463	Q96SZ4	ZSCAN10
